Shryp        buys level-guard  for    20 cubic,   100 aquest,     2 iquest.
Thu Mar 27 12:52:15 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:15 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:26 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:26 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:27 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:27 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:28 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:28 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:29 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:29 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:30 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:52:30 2008 Shryp        buys hp-regen             for    25 cubic,   350 aquest,     5 iquest.
Thu Mar 27 12:53:09 2008 Shryp        buys magic-power          for    50 cubic,   450 aquest,    10 iquest.
Thu Mar 27 12:53:10 2008 Shryp        buys magic-power          for    50 cubic,   450 aquest,    10 iquest.
Thu Mar 27 12:53:16 2008 Shryp        buys magic-power          for    50 cubic,   450 aquest,    10 iquest.
Thu Mar 27 12:53:19 2008 Shryp        buys magic-power          for    50 cubic,   450 aquest,    10 iquest.
Thu Mar 27 12:53:23 2008 Shryp        buys magic-power          for    50 cubic,   450 aquest,    10 iquest.
Thu Mar 27 13:02:31 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:42 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:42 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:43 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:43 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:44 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:44 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:44 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:45 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:45 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:46 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:46 2008 Shryp        buys mana                 for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 13:02:55 2008 Shryp        buys strength             for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:02:58 2008 Shryp        buys wisdom               for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:15 2008 Shryp        buys wisdom               for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:15 2008 Shryp        buys wisdom               for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:16 2008 Shryp        buys wisdom               for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:18 2008 Shryp        buys strength             for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:19 2008 Shryp        buys strength             for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:03:19 2008 Shryp        buys strength             for    25 cubic,   300 aquest,    10 iquest.
Thu Mar 27 13:05:51 2008 Shryp        buys buy-level-object     for     0 cubic,     0 aquest,     0 iquest.
Thu Mar 27 13:05:59 2008 Shryp        buys buy-level-object     for    10 cubic,    50 aquest,     1 iquest.
Thu Mar 27 13:06:05 2008 Shryp        buys buy-level-object     for    20 cubic,   100 aquest,     2 iquest.
Thu Mar 27 13:06:33 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 13:06:40 2008 Shryp        buys hitroll              for    30 cubic,   250 aquest,     5 iquest.
Thu Mar 27 13:27:38 2008 Shryp        buys buy-new-guard        for   200 cubic,  2000 aquest,    25 iquest.
Thu Mar 27 13:29:06 2008 Shryp        buys buy-new-guard        for   240 cubic,  2400 aquest,    30 iquest.
Thu Mar 27 13:30:00 2008 Shryp        buys buy-new-guard        for   280 cubic,  2800 aquest,    35 iquest.
Thu Mar 27 13:30:19 2008 Shryp        buys buy-new-room         for    25 cubic,   250 aquest,     5 iquest.
Thu Mar 27 13:30:31 2008 Shryp        buys buy-new-guard        for   320 cubic,  3200 aquest,    40 iquest.
Thu Mar 27 13:30:45 2008 Shryp        buys buy-new-guard        for   360 cubic,  3600 aquest,    45 iquest.
Thu Mar 27 21:16:25 2008 Shryp        buys buy-time-objects     for    10 cubic,     0 aquest,     0 iquest.
Sat Apr  5 06:11:16 2008 Shryp        buys dark                 for    10 cubic,    10 aquest,     1 iquest.
Sat Apr  5 06:11:27 2008 Shryp        buys special_save         for   200 cubic,   700 aquest,    35 iquest.
Sat Apr  5 06:11:30 2008 Shryp        buys burnproof            for   150 cubic,   750 aquest,    25 iquest.
Sat Apr  5 06:11:43 2008 Shryp        buys nodrop               for    75 cubic,   300 aquest,    10 iquest.
Sat Apr  5 06:11:49 2008 Shryp        buys nouncurse            for    50 cubic,   250 aquest,    10 iquest.
Sat Apr  5 07:31:22 2008 Shryp        buys set-portal-room      for    50 cubic,   100 aquest,    10 iquest.
Sat Apr  5 07:31:53 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Sat Apr  5 07:32:00 2008 Shryp        buys buy-portal           for    20 cubic,   100 aquest,    10 iquest.
Sat Apr  5 07:32:02 2008 Shryp        buys buy-portal           for    30 cubic,   150 aquest,    15 iquest.
Sat Apr  5 07:57:59 2008 Shryp        buys buy-time-mobiles     for    60 cubic,     0 aquest,     0 iquest.
Sat Apr  5 18:17:31 2008 Shryp        buys buy-new-magical      for    50 cubic,   500 aquest,    15 iquest.
Sat Apr  5 19:24:49 2008 Shryp        buys buy-level-object     for    10 cubic,    50 aquest,     1 iquest.
Sat Apr  5 19:24:51 2008 Shryp        buys buy-level-object     for    20 cubic,   100 aquest,     2 iquest.
Sat Apr  5 19:24:53 2008 Shryp        buys buy-level-object     for    30 cubic,   150 aquest,     3 iquest.
Sat Apr  5 19:24:53 2008 Shryp        buys buy-level-object     for    40 cubic,   200 aquest,     4 iquest.
Sat Apr  5 19:24:59 2008 Shryp        buys absorb magic         for    25 cubic,   100 aquest,    10 iquest.
Sat Apr  5 19:25:33 2008 Shryp        buys absorb magic         for    25 cubic,   100 aquest,    10 iquest.
Sat Apr  5 19:25:39 2008 Shryp        buys acid blast           for    20 cubic,    75 aquest,     5 iquest.
Sat Apr  5 19:25:40 2008 Shryp        buys acid blast           for    20 cubic,    75 aquest,     5 iquest.
Sat Apr  5 23:16:16 2008 Shryp        buys iceshield            for    50 cubic,   100 aquest,     5 iquest.
Sat Apr  5 23:16:28 2008 Shryp        buys iceshield            for    50 cubic,   100 aquest,     5 iquest.
Sat Apr  5 23:19:26 2008 Shryp        buys iceshield            for    50 cubic,   100 aquest,     5 iquest.
Mon Apr  7 15:47:09 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:47:39 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:47:41 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:47:41 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:47:42 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:49:46 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:53:51 2008 Shryp        buys buy-portal           for    10 cubic,    50 aquest,     5 iquest.
Mon Apr  7 15:54:15 2008 Shryp        buys buy-portal           for    20 cubic,   100 aquest,    10 iquest.
Mon Apr  7 15:54:16 2008 Shryp        buys buy-portal           for    30 cubic,   150 aquest,    15 iquest.
Mon Apr  7 15:54:17 2008 Shryp        buys buy-portal           for    40 cubic,   200 aquest,    20 iquest.
Mon Apr  7 15:54:17 2008 Shryp        buys buy-portal           for    50 cubic,   250 aquest,    25 iquest.
Mon Apr  7 15:54:18 2008 Shryp        buys buy-portal           for    60 cubic,   300 aquest,    30 iquest.
Mon Apr  7 15:54:18 2008 Shryp        buys buy-portal           for    70 cubic,   350 aquest,    35 iquest.
Mon Apr  7 17:40:58 2008 Shryp        buys buy-new-potion       for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 17:56:08 2008 Shryp        buys buy-new-shop         for   120 cubic,   600 aquest,    20 iquest.
Mon Apr  7 17:56:24 2008 Shryp        buys buy-new-pill         for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 18:03:19 2008 Shryp        buys buy-new-room         for    30 cubic,   300 aquest,     6 iquest.
Mon Apr  7 18:03:57 2008 Shryp        buys buy-new-shop         for   150 cubic,   750 aquest,    25 iquest.
Mon Apr  7 18:04:06 2008 Shryp        buys buy-new-scroll       for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 18:09:42 2008 Shryp        buys iceshield            for    50 cubic,   100 aquest,     5 iquest.
Mon Apr  7 18:25:12 2008 Shryp        buys portal-room          for    50 cubic,   100 aquest,    10 iquest.
Mon Apr  7 19:55:03 2008 Shryp        buys buy-new-pit          for   100 cubic,  1000 aquest,    35 iquest.
Mon Apr  7 19:55:44 2008 Shryp        buys buy-new-light        for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 19:56:04 2008 Shryp        buys buy-new-weapon       for    75 cubic,   750 aquest,    20 iquest.
Mon Apr  7 19:57:01 2008 Shryp        buys buy-new-weapon       for   150 cubic,  1500 aquest,    40 iquest.
Mon Apr  7 19:57:52 2008 Shryp        buys buy-new-wand         for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 19:57:57 2008 Shryp        buys buy-new-staff        for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 19:58:01 2008 Shryp        buys buy-new-staff        for   100 cubic,  1000 aquest,    30 iquest.
Mon Apr  7 20:09:55 2008 Shryp        buys buy-new-furniture    for   100 cubic,  1000 aquest,    35 iquest.
Mon Apr  7 20:12:13 2008 Shryp        buys buy-new-furniture    for   200 cubic,  2000 aquest,    70 iquest.
Mon Apr  7 20:28:25 2008 Shryp        buys buy-new-container    for    75 cubic,   700 aquest,    20 iquest.
Mon Apr  7 20:49:59 2008 Shryp        buys buy-new-drink-container for    50 cubic,   500 aquest,    15 iquest.
Mon Apr  7 21:07:36 2008 Shryp        buys buy-new-drink-container for   100 cubic,  1000 aquest,    30 iquest.
Mon Apr  7 21:08:51 2008 Shryp        buys buy-new-food         for    25 cubic,   300 aquest,    15 iquest.
Mon Apr  7 21:09:38 2008 Shryp        buys buy-new-boat         for    25 cubic,   300 aquest,    15 iquest.
Mon Apr  7 21:09:52 2008 Shryp        buys buy-new-fountain     for    75 cubic,   700 aquest,    20 iquest.
Mon Apr  7 21:20:10 2008 Shryp        buys buy-room-upgrade     for    25 cubic,   100 aquest,     5 iquest.
Mon Apr  7 21:20:17 2008 Shryp        buys buy-room-upgrade     for    25 cubic,   100 aquest,     5 iquest.
Mon Apr  7 21:28:52 2008 Shryp        buys buy-max-members      for   500 cubic,  2500 aquest,    50 iquest.
Mon Apr  7 21:40:01 2008 Shryp        buys buy-resist-object    for    75 cubic,   500 aquest,    30 iquest.
Tue Apr  8 06:12:00 2008 Shryp        buys buy-new-help         for    20 cubic,    20 aquest,     1 iquest.
Thu Apr 10 04:13:55 2008 Shryp        buys door                 for    20 cubic,   100 aquest,     5 iquest.
Thu Apr 10 04:14:02 2008 Shryp        buys closed               for    10 cubic,    50 aquest,     5 iquest.
Thu Apr 10 04:14:29 2008 Shryp        buys hidden               for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:15:41 2008 Shryp        buys noblink              for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:15:44 2008 Shryp        buys nopass               for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:16:06 2008 Shryp        buys locked               for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:16:08 2008 Shryp        buys bashproof            for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:16:12 2008 Shryp        buys pickproof            for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:16:35 2008 Shryp        buys noscan               for    20 cubic,   100 aquest,    10 iquest.
Thu Apr 10 04:20:55 2008 Shryp        buys door                 for    20 cubic,   100 aquest,     5 iquest.
Thu Apr 10 04:21:08 2008 Shryp        buys closed               for    10 cubic,    50 aquest,     5 iquest.
Thu Apr 10 06:05:57 2008 Shryp        buys buy-new-room         for    35 cubic,   350 aquest,     7 iquest.
Thu Apr 10 06:07:29 2008 Shryp        buys deposit_cubic        for  1700 cubic,     0 aquest,     0 iquest.
Thu Apr 10 06:07:34 2008 Shryp        buys buy-new-room         for    40 cubic,   400 aquest,     8 iquest.
Thu Apr 10 06:07:58 2008 Shryp        buys buy-new-guard        for   400 cubic,  4000 aquest,    50 iquest.
Thu Apr 10 06:08:57 2008 Shryp        buys sentinel             for    15 cubic,    30 aquest,     0 iquest.
Thu Apr 10 06:09:13 2008 Shryp        buys buy-new-guard        for   440 cubic,  4400 aquest,    55 iquest.
Thu Apr 10 06:09:39 2008 Shryp        buys sentinel             for    15 cubic,    30 aquest,     0 iquest.
Thu Apr 10 06:13:28 2008 Shryp        buys buy-new-key          for    50 cubic,   500 aquest,    20 iquest.
Thu Apr 10 06:20:36 2008 Shryp        buys door                 for    20 cubic,   100 aquest,     5 iquest.
Thu Apr 10 06:20:44 2008 Shryp        buys closed               for    10 cubic,    50 aquest,     5 iquest.
Thu Apr 10 06:20:46 2008 Shryp        buys buy-new-key          for    50 cubic,   500 aquest,    20 iquest.
Thu Apr 10 06:30:26 2008 Shryp        buys buy-new-key          for    50 cubic,   500 aquest,    20 iquest.
Thu Apr 10 07:50:45 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:51:18 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:51:55 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:51:57 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:52:34 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:53:33 2008 Shryp        buys new-container        for   150 cubic,  1400 aquest,    40 iquest.
Thu Apr 10 07:56:15 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 07:56:28 2008 Shryp        buys equip-guard          for    20 cubic,   250 aquest,     5 iquest.
Thu Apr 10 09:32:34 2008              | AUTO-TWO-WAY SET     for     0 cubic,     0 aquest,     0 iquest.
Thu Apr 10 10:10:10 2008 Shryp        | make-two-way         for    10 cubic,   100 aquest,     5 iquest.
Thu Apr 10 10:18:36 2008 Shryp        | make-two-way         for    10 cubic,   100 aquest,     5 iquest.
Thu Apr 10 10:19:04 2008 Shryp        | make-two-way         for    10 cubic,   100 aquest,     5 iquest.
Thu Apr 10 10:22:21 2008 Shryp        | resist-object        for    75 cubic,   500 aquest,    30 iquest.
Thu Apr 10 22:34:13 2008 Shryp        | make-two-way         for    10 cubic,   100 aquest,     5 iquest.
Thu Apr 10 22:39:10 2008 Shryp        | make-two-way         for    10 cubic,   100 aquest,     5 iquest.
Sun Jun 15 23:09:28 2008              | AUTO-TWO-WAY SET     for     0 cubic,     0 aquest,     0 iquest.
Sun Jun 15 23:19:21 2008              | AUTO-TWO-WAY SET     for     0 cubic,     0 aquest,     0 iquest.
